Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","0.0669"
"","0.0200","0.0000","0.0699"
"","0.0400","0.0001","0.0681"
"","0.0600","0.0003","0.0698"
"","0.0800","0.0006","0.0695"
"","0.1000","0.0010","0.0703"
"","0.1200","0.0016","0.0709"
"","0.1400","0.0024","0.0708"
"","0.1600","0.0034","0.0716"
"","0.1800","0.0042","0.0697"
"","0.2000","0.0042","0.0708"
"","0.2200","0.0042","0.0714"
"","0.2400","0.0044","0.0724"
"","0.2600","0.0048","0.0724"
"","0.2800","0.0055","0.0738"
"","0.3000","0.0071","0.0736"
"","0.3200","0.0097","0.0719"
"","0.3400","0.0129","0.0709"
"","0.3600","0.0162","0.0692"
"","0.3800","0.0192","0.0706"
"","0.4000","0.0216","0.0700"
"","0.4200","0.0237","0.0698"
"","0.4400","0.0255","0.0705"
"","0.4600","0.0272","0.0713"
"","0.4800","0.0289","0.0717"
"","0.5000","0.0306","0.0692"
"","0.5200","0.0322","0.0710"
"","0.5400","0.0338","0.0691"
"","0.5600","0.0354","0.0734"
"","0.5800","0.0371","0.0709"
"","0.6000","0.0389","0.0732"
"","0.6200","0.0408","0.0709"
"","0.6400","0.0427","0.0726"
"","0.6600","0.0446","0.0716"
"","0.6800","0.0465","0.0712"
"","0.7000","0.0484","0.0728"
"","0.7200","0.0502","0.0712"
"","0.7400","0.0518","0.0736"
"","0.7600","0.0534","0.0714"
"","0.7800","0.0549","0.0730"
"","0.8000","0.0564","0.0735"
"","0.8200","0.0580","0.0740"
"","0.8400","0.0595","0.0726"
"","0.8600","0.0611","0.0731"
"","0.8800","0.0627","0.0716"
"","0.9000","0.0643","0.0710"
"","0.9200","0.0658","0.0736"
"","0.9400","0.0673","0.0738"
"","0.9600","0.0690","0.0751"
"","0.9800","0.0708","0.0727"
"","1.0000","0.0727","0.0737"
"","1.0200","0.0746","0.0729"
"","1.0400","0.0766","0.0718"
"","1.0600","0.0786","0.0751"
"","1.0800","0.0805","0.0716"
"","1.1000","0.0823","0.0741"
"","1.1200","0.0840","0.0708"
"","1.1400","0.0855","0.0736"
"","1.1600","0.0871","0.0721"
"","1.1800","0.0886","0.0739"
"","1.2000","0.0901","0.0728"
"","1.2200","0.0917","0.0748"
"","1.2400","0.0932","0.0734"
"","1.2600","0.0947","0.0735"
"","1.2800","0.0962","0.0744"
"","1.3000","0.0978","0.0743"
"","1.3200","0.0993","0.0748"
"","1.3400","0.1008","0.0727"
"","1.3600","0.1024","0.0755"
"","1.3800","0.1040","0.0738"
"","1.4000","0.1057","0.0744"
"","1.4200","0.1076","0.0745"
"","1.4400","0.1094","0.0748"
"","1.4600","0.1112","0.0755"
"","1.4800","0.1130","0.0730"
"","1.5000","0.1148","0.0746"
"","1.5200","0.1166","0.0749"
"","1.5400","0.1183","0.0749"
"","1.5600","0.1201","0.0726"
"","1.5800","0.1219","0.0729"
"","1.6000","0.1236","0.0713"
"","1.6200","0.1253","0.0738"
"","1.6400","0.1268","0.0760"
"","1.6600","0.1284","0.0750"
"","1.6800","0.1299","0.0769"
"","1.7000","0.1315","0.0740"
"","1.7200","0.1330","0.0769"
"","1.7400","0.1346","0.0746"
"","1.7600","0.1361","0.0775"
"","1.7800","0.1377","0.0756"
"","1.8000","0.1394","0.0762"
"","1.8200","0.1411","0.0764"
"","1.8400","0.1429","0.0757"
"","1.8600","0.1448","0.0767"
"","1.8800","0.1466","0.0763"
"","1.9000","0.1484","0.0765"
"","1.9200","0.1502","0.0744"
"","1.9400","0.1518","0.0769"
"","1.9600","0.1534","0.0759"
"","1.9800","0.1549","0.0780"
"","2.0000","0.1565","0.0752"
"","2.0200","0.1580","0.0766"
"","2.0400","0.1596","0.0767"
"","2.0600","0.1613","0.0758"
"","2.0800","0.1630","0.0773"
"","2.1000","0.1647","0.0767"
"","2.1200","0.1664","0.0779"
"","2.1400","0.1680","0.0781"
"","2.1600","0.1696","0.0776"
"","2.1800","0.1712","0.0773"
"","2.2000","0.1728","0.0765"
"","2.2200","0.1746","0.0782"
"","2.2400","0.1764","0.0758"
"","2.2600","0.1782","0.0771"
"","2.2800","0.1800","0.0737"
"","2.3000","0.1817","0.0788"
"","2.3200","0.1834","0.0757"
"","2.3400","0.1851","0.0805"
"","2.3600","0.1867","0.0768"
"","2.3800","0.1884","0.0781"
"","2.4000","0.1900","0.0780"
"","2.4200","0.1916","0.0783"
"","2.4400","0.1932","0.0791"
"","2.4600","0.1947","0.0769"
"","2.4800","0.1963","0.0782"
"","2.5000","0.1979","0.0771"
"","2.5200","0.1995","0.0779"
"","2.5400","0.2012","0.0771"
"","2.5600","0.2028","0.0790"
"","2.5800","0.2044","0.0786"
"","2.6000","0.2061","0.0786"
"","2.6200","0.2079","0.0785"
"","2.6400","0.2097","0.0786"
"","2.6600","0.2116","0.0798"
"","2.6800","0.2135","0.0796"
"","2.7000","0.2153","0.0810"
"","2.7200","0.2171","0.0786"
"","2.7400","0.2188","0.0784"
"","2.7600","0.2204","0.0792"
"","2.7800","0.2220","0.0783"
"","2.8000","0.2236","0.0805"
"","2.8200","0.2251","0.0786"
"","2.8400","0.2266","0.0815"
"","2.8600","0.2281","0.0790"
"","2.8800","0.2296","0.0803"
"","2.9000","0.2312","0.0788"
"","2.9200","0.2328","0.0815"
"","2.9400","0.2344","0.0795"
"","2.9600","0.2359","0.0823"
"","2.9800","0.2375","0.0789"
"","3.0000","0.2391","0.0794"
"","3.0200","0.2409","0.0788"
"","3.0400","0.2427","0.0786"
"","3.0600","0.2445","0.0817"
"","3.0800","0.2464","0.0805"
"","3.1000","0.2482","0.0831"
"","3.1200","0.2500","0.0798"
"","3.1400","0.2518","0.0801"
"","3.1600","0.2537","0.0787"
"","3.1800","0.2554","0.0794"
"","3.2000","0.2571","0.0804"
"","3.2200","0.2588","0.0794"
"","3.2400","0.2603","0.0814"
"","3.2600","0.2619","0.0805"
"","3.2800","0.2634","0.0809"
"","3.3000","0.2648","0.0806"
"","3.3200","0.2663","0.0823"
"","3.3400","0.2679","0.0826"
"","3.3600","0.2694","0.0814"
"","3.3800","0.2710","0.0824"
"","3.4000","0.2726","0.0811"
"","3.4200","0.2742","0.0829"
"","3.4400","0.2759","0.0808"
"","3.4600","0.2778","0.0839"
"","3.4800","0.2797","0.0809"
"","3.5000","0.2816","0.0838"
"","3.5200","0.2835","0.0809"
"","3.5400","0.2853","0.0820"
"","3.5600","0.2870","0.0804"
"","3.5800","0.2887","0.0814"
"","3.6000","0.2904","0.0820"
"","3.6200","0.2920","0.0815"
"","3.6400","0.2936","0.0812"
"","3.6600","0.2952","0.0812"
"","3.6800","0.2968","0.0833"
"","3.7000","0.2983","0.0815"
"","3.7200","0.2999","0.0826"
"","3.7400","0.3015","0.0824"
"","3.7600","0.3031","0.0824"
"","3.7800","0.3045","0.0831"
"","3.8000","0.3060","0.0828"
"","3.8200","0.3076","0.0821"
"","3.8400","0.3092","0.0798"
"","3.8600","0.3110","0.0822"
"","3.8800","0.3128","0.0811"
"","3.9000","0.3145","0.0841"
"","3.9200","0.3163","0.0836"
"","3.9400","0.3181","0.0823"
"","3.9600","0.3199","0.0831"
"","3.9800","0.3217","0.0826"
"","4.0000","0.3235","0.0832"
"","4.0200","0.3252","0.0814"
"","4.0400","0.3269","0.0852"
"","4.0600","0.3285","0.0819"
"","4.0800","0.3301","0.0847"
"","4.1000","0.3317","0.0808"
"","4.1200","0.3333","0.0860"
"","4.1400","0.3349","0.0841"
"","4.1600","0.3364","0.0862"
"","4.1800","0.3380","0.0841"
"","4.2000","0.3396","0.0823"
"","4.2200","0.3412","0.0828"
"","4.2400","0.3428","0.0831"
"","4.2600","0.3445","0.0857"
