Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0097","-0.0017"
"","0.0200","0.0097","0.0002"
"","0.0400","0.0097","-0.0036"
"","0.0600","0.0100","0.0015"
"","0.0800","0.0106","0.0011"
"","0.1000","0.0105","0.0071"
"","0.1200","0.0103","0.0059"
"","0.1400","0.0103","0.0040"
"","0.1600","0.0107","0.0008"
"","0.1800","0.0112","-0.0027"
"","0.2000","0.0121","-0.0010"
"","0.2200","0.0143","0.0024"
"","0.2400","0.0178","0.0052"
"","0.2600","0.0215","0.0052"
"","0.2800","0.0246","0.0065"
"","0.3000","0.0272","0.0043"
"","0.3200","0.0293","0.0043"
"","0.3400","0.0313","0.0037"
"","0.3600","0.0331","0.0075"
"","0.3800","0.0348","0.0090"
"","0.4000","0.0366","0.0119"
"","0.4200","0.0383","0.0089"
"","0.4400","0.0401","0.0086"
"","0.4600","0.0419","0.0101"
"","0.4800","0.0437","0.0103"
"","0.5000","0.0455","0.0130"
"","0.5200","0.0473","0.0148"
"","0.5400","0.0490","0.0135"
"","0.5600","0.0507","0.0113"
"","0.5800","0.0524","0.0131"
"","0.6000","0.0540","0.0181"
"","0.6200","0.0555","0.0130"
"","0.6400","0.0570","0.0110"
"","0.6600","0.0585","0.0127"
"","0.6800","0.0600","0.0197"
"","0.7000","0.0616","0.0167"
"","0.7200","0.0631","0.0161"
"","0.7400","0.0647","0.0189"
"","0.7600","0.0663","0.0214"
"","0.7800","0.0678","0.0218"
"","0.8000","0.0695","0.0178"
"","0.8200","0.0713","0.0172"
"","0.8400","0.0732","0.0173"
"","0.8600","0.0752","0.0225"
"","0.8800","0.0771","0.0185"
"","0.9000","0.0789","0.0213"
"","0.9200","0.0808","0.0231"
"","0.9400","0.0825","0.0251"
"","0.9600","0.0842","0.0216"
"","0.9800","0.0859","0.0216"
"","1.0000","0.0875","0.0254"
"","1.0200","0.0890","0.0260"
"","1.0400","0.0905","0.0230"
"","1.0600","0.0921","0.0229"
"","1.0800","0.0936","0.0251"
"","1.1000","0.0951","0.0276"
"","1.1200","0.0967","0.0243"
"","1.1400","0.0982","0.0250"
"","1.1600","0.0998","0.0283"
"","1.1800","0.1013","0.0342"
"","1.2000","0.1028","0.0296"
"","1.2200","0.1045","0.0285"
"","1.2400","0.1062","0.0307"
"","1.2600","0.1080","0.0365"
"","1.2800","0.1099","0.0319"
"","1.3000","0.1117","0.0302"
"","1.3200","0.1135","0.0314"
"","1.3400","0.1154","0.0346"
"","1.3600","0.1172","0.0302"
"","1.3800","0.1190","0.0344"
"","1.4000","0.1207","0.0413"
"","1.4200","0.1224","0.0363"
"","1.4400","0.1240","0.0374"
"","1.4600","0.1256","0.0334"
"","1.4800","0.1271","0.0358"
"","1.5000","0.1287","0.0345"
"","1.5200","0.1303","0.0380"
"","1.5400","0.1319","0.0383"
"","1.5600","0.1335","0.0380"
"","1.5800","0.1351","0.0391"
"","1.6000","0.1367","0.0417"
"","1.6200","0.1384","0.0394"
"","1.6400","0.1401","0.0381"
"","1.6600","0.1418","0.0438"
"","1.6800","0.1436","0.0434"
"","1.7000","0.1454","0.0426"
"","1.7200","0.1472","0.0423"
"","1.7400","0.1490","0.0436"
"","1.7600","0.1507","0.0441"
"","1.7800","0.1524","0.0421"
"","1.8000","0.1540","0.0465"
"","1.8200","0.1556","0.0447"
"","1.8400","0.1572","0.0458"
"","1.8600","0.1588","0.0457"
"","1.8800","0.1604","0.0485"
"","1.9000","0.1621","0.0478"
"","1.9200","0.1637","0.0511"
"","1.9400","0.1653","0.0504"
"","1.9600","0.1669","0.0493"
"","1.9800","0.1685","0.0512"
"","2.0000","0.1701","0.0503"
"","2.0200","0.1716","0.0536"
"","2.0400","0.1733","0.0510"
"","2.0600","0.1750","0.0566"
"","2.0800","0.1768","0.0538"
"","2.1000","0.1786","0.0551"
"","2.1200","0.1803","0.0540"
"","2.1400","0.1820","0.0565"
"","2.1600","0.1838","0.0555"
"","2.1800","0.1855","0.0565"
"","2.2000","0.1873","0.0565"
"","2.2200","0.1889","0.0581"
"","2.2400","0.1906","0.0592"
"","2.2600","0.1922","0.0605"
"","2.2800","0.1937","0.0612"
"","2.3000","0.1953","0.0623"
"","2.3200","0.1969","0.0600"
"","2.3400","0.1985","0.0634"
"","2.3600","0.2002","0.0638"
"","2.3800","0.2018","0.0653"
"","2.4000","0.2034","0.0646"
"","2.4200","0.2051","0.0633"
"","2.4400","0.2068","0.0626"
"","2.4600","0.2086","0.0666"
"","2.4800","0.2104","0.0661"
"","2.5000","0.2122","0.0668"
"","2.5200","0.2140","0.0679"
"","2.5400","0.2158","0.0659"
"","2.5600","0.2177","0.0684"
"","2.5800","0.2194","0.0678"
"","2.6000","0.2211","0.0708"
"","2.6200","0.2226","0.0692"
"","2.6400","0.2241","0.0723"
"","2.6600","0.2256","0.0706"
"","2.6800","0.2271","0.0712"
"","2.7000","0.2286","0.0716"
"","2.7200","0.2301","0.0728"
"","2.7400","0.2316","0.0725"
"","2.7600","0.2332","0.0733"
"","2.7800","0.2348","0.0752"
"","2.8000","0.2365","0.0740"
"","2.8200","0.2380","0.0744"
"","2.8400","0.2397","0.0738"
"","2.8600","0.2415","0.0749"
"","2.8800","0.2433","0.0762"
"","2.9000","0.2451","0.0775"
"","2.9200","0.2470","0.0810"
"","2.9400","0.2488","0.0802"
"","2.9600","0.2506","0.0803"
"","2.9800","0.2525","0.0777"
"","3.0000","0.2543","0.0809"
"","3.0200","0.2561","0.0810"
"","3.0400","0.2578","0.0839"
"","3.0600","0.2593","0.0840"
"","3.0800","0.2608","0.0838"
"","3.1000","0.2623","0.0828"
"","3.1200","0.2638","0.0840"
"","3.1400","0.2652","0.0860"
"","3.1600","0.2667","0.0838"
"","3.1800","0.2683","0.0879"
"","3.2000","0.2699","0.0867"
"","3.2200","0.2714","0.0880"
"","3.2400","0.2730","0.0841"
"","3.2600","0.2747","0.0882"
"","3.2800","0.2764","0.0895"
"","3.3000","0.2783","0.0913"
"","3.3200","0.2802","0.0904"
"","3.3400","0.2822","0.0904"
"","3.3600","0.2841","0.0902"
"","3.3800","0.2860","0.0911"
"","3.4000","0.2877","0.0917"
"","3.4200","0.2894","0.0933"
"","3.4400","0.2910","0.0932"
"","3.4600","0.2925","0.0938"
"","3.4800","0.2941","0.0937"
"","3.5000","0.2957","0.0977"
"","3.5200","0.2972","0.0972"
"","3.5400","0.2988","0.0976"
"","3.5600","0.3004","0.0954"
"","3.5800","0.3021","0.0996"
"","3.6000","0.3036","0.0974"
"","3.6200","0.3051","0.0983"
"","3.6400","0.3066","0.0988"
"","3.6600","0.3082","0.1013"
"","3.6800","0.3099","0.1026"
"","3.7000","0.3116","0.1012"
"","3.7200","0.3133","0.1032"
"","3.7400","0.3151","0.1026"
"","3.7600","0.3169","0.1049"
"","3.7800","0.3187","0.1031"
"","3.8000","0.3205","0.1050"
"","3.8200","0.3223","0.1052"
"","3.8400","0.3241","0.1090"
"","3.8600","0.3259","0.1073"
"","3.8800","0.3276","0.1066"
"","3.9000","0.3292","0.1073"
"","3.9200","0.3307","0.1086"
"","3.9400","0.3322","0.1093"
"","3.9600","0.3337","0.1092"
"","3.9800","0.3352","0.1104"
"","4.0000","0.3368","0.1131"
"","4.0200","0.3385","0.1118"
"","4.0400","0.3402","0.1124"
"","4.0600","0.3419","0.1120"
"","4.0800","0.3436","0.1154"
"","4.1000","0.3453","0.1123"
"","4.1200","0.3470","0.1165"
"","4.1400","0.3487","0.1130"
"","4.1600","0.3504","0.1166"
"","4.1800","0.3522","0.1151"
"","4.2000","0.3540","0.1170"
"","4.2200","0.3558","0.1163"
"","4.2400","0.3575","0.1184"
"","4.2600","0.3591","0.1213"
"","4.2800","0.3607","0.1180"
"","4.3000","0.3623","0.1197"
"","4.3200","0.3638","0.1179"
"","4.3400","0.3654","0.1213"
"","4.3600","0.3670","0.1219"
"","4.3800","0.3686","0.1251"
"","4.4000","0.3701","0.1243"
"","4.4200","0.3717","0.1260"
"","4.4400","0.3733","0.1239"
"","4.4600","0.3748","0.1256"
"","4.4800","0.3765","0.1262"
"","4.5000","0.3782","0.1252"
"","4.5200","0.3800","0.1274"
"","4.5400","0.3819","0.1270"
"","4.5600","0.3837","0.1282"
"","4.5800","0.3855","0.1279"
"","4.6000","0.3872","0.1281"
"","4.6200","0.3889","0.1289"
"","4.6400","0.3906","0.1278"
"","4.6600","0.3923","0.1303"
"","4.6800","0.3939","0.1313"
"","4.7000","0.3955","0.1347"
"","4.7200","0.3971","0.1329"
"","4.7400","0.3987","0.1351"
"","4.7600","0.4003","0.1336"
"","4.7800","0.4019","0.1353"
"","4.8000","0.4035","0.1348"
"","4.8200","0.4050","0.1376"
"","4.8400","0.4067","0.1378"
"","4.8600","0.4083","0.1359"
"","4.8800","0.4100","0.1386"
"","4.9000","0.4117","0.1374"
"","4.9200","0.4135","0.1404"
"","4.9400","0.4153","0.1383"
"","4.9600","0.4171","0.1406"
"","4.9800","0.4189","0.1403"
"","5.0000","0.4207","0.1414"
"","5.0200","0.4226","0.1432"
"","5.0400","0.4243","0.1442"
"","5.0600","0.4260","0.1434"
"","5.0800","0.4275","0.1434"
"","5.1000","0.4290","0.1448"
"","5.1200","0.4305","0.1452"
"","5.1400","0.4320","0.1453"
"","5.1600","0.4334","0.1455"
"","5.1800","0.4350","0.1463"
"","5.2000","0.4365","0.1497"
"","5.2200","0.4381","0.1462"
"","5.2400","0.4397","0.1485"
"","5.2600","0.4413","0.1459"
"","5.2800","0.4429","0.1528"
"","5.3000","0.4446","0.1498"
"","5.3200","0.4463","0.1517"
"","5.3400","0.4482","0.1508"
"","5.3600","0.4500","0.1519"
"","5.3800","0.4519","0.1539"
"","5.4000","0.4537","0.1526"
"","5.4200","0.4555","0.1552"
"","5.4400","0.4573","0.1534"
"","5.4600","0.4591","0.1535"
"","5.4800","0.4609","0.1529"
