Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.2539","0.0037"
"","0.0200","0.2538","0.0043"
"","0.0400","0.2538","0.0015"
"","0.0600","0.2539","0.0005"
"","0.0800","0.2541","0.0029"
"","0.1000","0.2542","0.0038"
"","0.1200","0.2545","0.0039"
"","0.1400","0.2550","0.0024"
"","0.1600","0.2550","0.0035"
"","0.1800","0.2545","0.0035"
"","0.2000","0.2545","0.0030"
"","0.2200","0.2547","0.0034"
"","0.2400","0.2552","0.0042"
"","0.2600","0.2558","0.0039"
"","0.2800","0.2571","0.0060"
"","0.3000","0.2598","0.0115"
"","0.3200","0.2635","0.0098"
"","0.3400","0.2671","0.0145"
"","0.3600","0.2701","0.0143"
"","0.3800","0.2725","0.0205"
"","0.4000","0.2745","0.0183"
"","0.4200","0.2766","0.0237"
"","0.4400","0.2787","0.0221"
"","0.4600","0.2808","0.0247"
"","0.4800","0.2829","0.0255"
"","0.5000","0.2849","0.0303"
"","0.5200","0.2868","0.0319"
"","0.5400","0.2885","0.0311"
"","0.5600","0.2902","0.0336"
"","0.5800","0.2917","0.0358"
"","0.6000","0.2932","0.0373"
"","0.6200","0.2948","0.0371"
"","0.6400","0.2963","0.0390"
"","0.6600","0.2978","0.0399"
"","0.6800","0.2993","0.0418"
"","0.7000","0.3008","0.0446"
"","0.7200","0.3024","0.0435"
"","0.7400","0.3039","0.0465"
"","0.7600","0.3054","0.0468"
"","0.7800","0.3070","0.0497"
"","0.8000","0.3087","0.0486"
"","0.8200","0.3104","0.0493"
"","0.8400","0.3122","0.0526"
"","0.8600","0.3140","0.0532"
"","0.8800","0.3158","0.0571"
"","0.9000","0.3176","0.0566"
"","0.9200","0.3195","0.0595"
"","0.9400","0.3214","0.0576"
"","0.9600","0.3232","0.0610"
"","0.9800","0.3250","0.0616"
"","1.0000","0.3267","0.0655"
"","1.0200","0.3284","0.0649"
"","1.0400","0.3300","0.0676"
"","1.0600","0.3316","0.0689"
"","1.0800","0.3331","0.0686"
"","1.1000","0.3347","0.0707"
"","1.1200","0.3362","0.0714"
"","1.1400","0.3378","0.0738"
"","1.1600","0.3393","0.0748"
"","1.1800","0.3408","0.0759"
"","1.2000","0.3424","0.0772"
"","1.2200","0.3441","0.0791"
"","1.2400","0.3458","0.0791"
"","1.2600","0.3476","0.0791"
"","1.2800","0.3495","0.0819"
"","1.3000","0.3513","0.0835"
"","1.3200","0.3532","0.0867"
"","1.3400","0.3549","0.0878"
"","1.3600","0.3566","0.0893"
"","1.3800","0.3582","0.0898"
"","1.4000","0.3597","0.0915"
"","1.4200","0.3612","0.0929"
"","1.4400","0.3628","0.0928"
"","1.4600","0.3643","0.0956"
"","1.4800","0.3660","0.0944"
"","1.5000","0.3676","0.0995"
"","1.5200","0.3693","0.0975"
"","1.5400","0.3710","0.1031"
"","1.5600","0.3726","0.0999"
"","1.5800","0.3742","0.1025"
"","1.6000","0.3759","0.1025"
"","1.6200","0.3775","0.1065"
"","1.6400","0.3793","0.1070"
"","1.6600","0.3810","0.1086"
"","1.6800","0.3827","0.1097"
"","1.7000","0.3844","0.1107"
"","1.7200","0.3861","0.1123"
"","1.7400","0.3878","0.1136"
"","1.7600","0.3896","0.1152"
"","1.7800","0.3913","0.1170"
"","1.8000","0.3931","0.1190"
"","1.8200","0.3948","0.1203"
"","1.8400","0.3964","0.1204"
"","1.8600","0.3980","0.1222"
"","1.8800","0.3996","0.1232"
"","1.9000","0.4011","0.1258"
"","1.9200","0.4027","0.1274"
"","1.9400","0.4042","0.1275"
"","1.9600","0.4059","0.1266"
"","1.9800","0.4076","0.1291"
"","2.0000","0.4092","0.1319"
"","2.0200","0.4110","0.1324"
"","2.0400","0.4127","0.1348"
"","2.0600","0.4145","0.1339"
"","2.0800","0.4164","0.1391"
"","2.1000","0.4183","0.1373"
"","2.1200","0.4201","0.1416"
"","2.1400","0.4219","0.1416"
"","2.1600","0.4235","0.1441"
"","2.1800","0.4251","0.1425"
"","2.2000","0.4266","0.1440"
"","2.2200","0.4281","0.1460"
"","2.2400","0.4296","0.1480"
"","2.2600","0.4311","0.1510"
"","2.2800","0.4327","0.1514"
"","2.3000","0.4342","0.1507"
"","2.3200","0.4358","0.1514"
"","2.3400","0.4375","0.1545"
"","2.3600","0.4391","0.1554"
"","2.3800","0.4407","0.1566"
"","2.4000","0.4421","0.1572"
"","2.4200","0.4437","0.1584"
"","2.4400","0.4454","0.1621"
"","2.4600","0.4472","0.1620"
"","2.4800","0.4491","0.1658"
"","2.5000","0.4510","0.1648"
"","2.5200","0.4529","0.1667"
"","2.5400","0.4548","0.1685"
"","2.5600","0.4567","0.1709"
"","2.5800","0.4585","0.1733"
"","2.6000","0.4602","0.1723"
"","2.6200","0.4619","0.1755"
"","2.6400","0.4635","0.1748"
"","2.6600","0.4650","0.1783"
"","2.6800","0.4664","0.1764"
"","2.7000","0.4678","0.1810"
"","2.7200","0.4693","0.1776"
"","2.7400","0.4708","0.1815"
"","2.7600","0.4724","0.1812"
"","2.7800","0.4740","0.1851"
"","2.8000","0.4756","0.1855"
"","2.8200","0.4772","0.1882"
"","2.8400","0.4788","0.1902"
"","2.8600","0.4806","0.1901"
"","2.8800","0.4824","0.1913"
"","2.9000","0.4843","0.1916"
"","2.9200","0.4862","0.1927"
"","2.9400","0.4882","0.1957"
"","2.9600","0.4901","0.1975"
"","2.9800","0.4920","0.1997"
"","3.0000","0.4937","0.2000"
"","3.0200","0.4953","0.2019"
"","3.0400","0.4969","0.2023"
"","3.0600","0.4984","0.2053"
"","3.0800","0.4999","0.2041"
"","3.1000","0.5015","0.2063"
"","3.1200","0.5031","0.2068"
"","3.1400","0.5046","0.2082"
"","3.1600","0.5061","0.2105"
"","3.1800","0.5076","0.2112"
"","3.2000","0.5090","0.2149"
"","3.2200","0.5104","0.2128"
"","3.2400","0.5121","0.2170"
"","3.2600","0.5138","0.2147"
"","3.2800","0.5155","0.2175"
"","3.3000","0.5172","0.2160"
"","3.3200","0.5190","0.2204"
"","3.3400","0.5208","0.2197"
"","3.3600","0.5226","0.2233"
"","3.3800","0.5245","0.2249"
"","3.4000","0.5264","0.2269"
"","3.4200","0.5282","0.2288"
"","3.4400","0.5300","0.2292"
"","3.4600","0.5317","0.2312"
"","3.4800","0.5334","0.2323"
"","3.5000","0.5350","0.2334"
"","3.5200","0.5366","0.2333"
"","3.5400","0.5382","0.2351"
"","3.5600","0.5398","0.2377"
"","3.5800","0.5413","0.2382"
"","3.6000","0.5429","0.2401"
"","3.6200","0.5445","0.2401"
"","3.6400","0.5461","0.2419"
"","3.6600","0.5476","0.2422"
"","3.6800","0.5492","0.2447"
"","3.7000","0.5508","0.2446"
"","3.7200","0.5525","0.2455"
"","3.7400","0.5543","0.2477"
"","3.7600","0.5561","0.2487"
"","3.7800","0.5579","0.2523"
"","3.8000","0.5596","0.2524"
"","3.8200","0.5614","0.2566"
"","3.8400","0.5631","0.2538"
"","3.8600","0.5647","0.2582"
"","3.8800","0.5663","0.2575"
"","3.9000","0.5678","0.2619"
"","3.9200","0.5694","0.2600"
"","3.9400","0.5710","0.2616"
"","3.9600","0.5726","0.2615"
"","3.9800","0.5742","0.2635"
"","4.0000","0.5758","0.2646"
"","4.0200","0.5775","0.2670"
"","4.0400","0.5790","0.2680"
"","4.0600","0.5807","0.2681"
"","4.0800","0.5824","0.2720"
"","4.1000","0.5842","0.2727"
"","4.1200","0.5860","0.2757"
"","4.1400","0.5878","0.2776"
"","4.1600","0.5896","0.2759"
"","4.1800","0.5913","0.2794"
"","4.2000","0.5930","0.2778"
"","4.2200","0.5947","0.2817"
"","4.2400","0.5964","0.2810"
"","4.2600","0.5980","0.2836"
"","4.2800","0.5996","0.2848"
"","4.3000","0.6012","0.2849"
"","4.3200","0.6028","0.2862"
"","4.3400","0.6044","0.2886"
"","4.3600","0.6060","0.2901"
"","4.3800","0.6075","0.2899"
"","4.4000","0.6091","0.2938"
"","4.4200","0.6108","0.2916"
"","4.4400","0.6124","0.2963"
"","4.4600","0.6140","0.2948"
"","4.4800","0.6157","0.2997"
"","4.5000","0.6174","0.2984"
"","4.5200","0.6193","0.3020"
"","4.5400","0.6212","0.3032"
"","4.5600","0.6230","0.3034"
"","4.5800","0.6249","0.3063"
"","4.6000","0.6267","0.3069"
"","4.6200","0.6285","0.3082"
"","4.6400","0.6302","0.3094"
"","4.6600","0.6317","0.3106"
"","4.6800","0.6332","0.3123"
"","4.7000","0.6346","0.3129"
"","4.7200","0.6360","0.3141"
"","4.7400","0.6375","0.3132"
"","4.7600","0.6391","0.3167"
"","4.7800","0.6407","0.3173"
"","4.8000","0.6424","0.3210"
"","4.8200","0.6440","0.3201"
"","4.8400","0.6455","0.3221"
"","4.8600","0.6471","0.3213"
"","4.8800","0.6487","0.3234"
"","4.9000","0.6504","0.3261"
"","4.9200","0.6522","0.3255"
"","4.9400","0.6540","0.3280"
"","4.9600","0.6558","0.3274"
"","4.9800","0.6578","0.3315"
"","5.0000","0.6597","0.3294"
"","5.0200","0.6615","0.3340"
"","5.0400","0.6634","0.3342"
"","5.0600","0.6651","0.3387"
"","5.0800","0.6668","0.3373"
"","5.1000","0.6684","0.3403"
"","5.1200","0.6699","0.3387"
"","5.1400","0.6714","0.3402"
"","5.1600","0.6729","0.3440"
"","5.1800","0.6744","0.3446"
"","5.2000","0.6759","0.3472"
"","5.2200","0.6774","0.3464"
"","5.2400","0.6790","0.3489"
"","5.2600","0.6806","0.3507"
"","5.2800","0.6821","0.3498"
"","5.3000","0.6838","0.3523"
"","5.3200","0.6855","0.3510"
"","5.3400","0.6873","0.3545"
"","5.3600","0.6892","0.3547"
"","5.3800","0.6911","0.3578"
"","5.4000","0.6930","0.3557"
"","5.4200","0.6949","0.3591"
"","5.4400","0.6967","0.3600"
"","5.4600","0.6984","0.3606"
"","5.4800","0.7001","0.3635"
"","5.5000","0.7017","0.3650"
"","5.5200","0.7033","0.3701"
"","5.5400","0.7048","0.3683"
"","5.5600","0.7064","0.3713"
"","5.5800","0.7080","0.3699"
"","5.6000","0.7095","0.3741"
"","5.6200","0.7111","0.3717"
"","5.6400","0.7127","0.3745"
"","5.6600","0.7142","0.3723"
"","5.6800","0.7157","0.3762"
"","5.7000","0.7173","0.3783"
"","5.7200","0.7189","0.3793"
"","5.7400","0.7206","0.3810"
"","5.7600","0.7223","0.3815"
"","5.7800","0.7240","0.3832"
"","5.8000","0.7258","0.3848"
"","5.8200","0.7276","0.3864"
"","5.8400","0.7295","0.3885"
"","5.8600","0.7313","0.3882"
"","5.8800","0.7331","0.3918"
"","5.9000","0.7348","0.3917"
"","5.9200","0.7364","0.3939"
"","5.9400","0.7381","0.3934"
"","5.9600","0.7397","0.3970"
"","5.9800","0.7414","0.3975"
"","6.0000","0.7429","0.3989"
"","6.0200","0.7445","0.4000"
"","6.0400","0.7462","0.4004"
"","6.0600","0.7478","0.4014"
"","6.0800","0.7495","0.4005"
"","6.1000","0.7511","0.4049"
"","6.1200","0.7527","0.4056"
"","6.1400","0.7544","0.4090"
"","6.1600","0.7561","0.4070"
"","6.1800","0.7579","0.4108"
"","6.2000","0.7596","0.4091"
"","6.2200","0.7614","0.4128"
"","6.2400","0.7631","0.4134"
"","6.2600","0.7648","0.4150"
"","6.2800","0.7664","0.4161"
"","6.3000","0.7680","0.4167"
"","6.3200","0.7696","0.4198"
"","6.3400","0.7711","0.4202"
"","6.3600","0.7727","0.4219"
"","6.3800","0.7743","0.4226"
"","6.4000","0.7759","0.4239"
"","6.4200","0.7775","0.4247"
"","6.4400","0.7792","0.4253"
"","6.4600","0.7808","0.4284"
"","6.4800","0.7825","0.4272"
"","6.5000","0.7842","0.4305"
"","6.5200","0.7859","0.4293"
"","6.5400","0.7877","0.4345"
"","6.5600","0.7895","0.4328"
"","6.5800","0.7912","0.4358"
"","6.6000","0.7930","0.4357"
"","6.6200","0.7949","0.4374"
"","6.6400","0.7967","0.4389"
"","6.6600","0.7984","0.4392"
"","6.6800","0.8000","0.4423"
"","6.7000","0.8016","0.4414"
"","6.7200","0.8032","0.4469"
"","6.7400","0.8047","0.4457"
"","6.7600","0.8063","0.4501"
"","6.7800","0.8078","0.4493"
"","6.8000","0.8094","0.4518"
"","6.8200","0.8110","0.4508"
"","6.8400","0.8126","0.4517"
"","6.8600","0.8142","0.4525"
"","6.8800","0.8158","0.4514"
