Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","-0.3524","0.0478"
"","0.0200","-0.3524","0.0485"
"","0.0400","-0.3523","0.0508"
"","0.0600","-0.3521","0.0513"
"","0.0800","-0.3517","0.0492"
"","0.1000","-0.3512","0.0495"
"","0.1200","-0.3514","0.0471"
"","0.1400","-0.3515","0.0470"
"","0.1600","-0.3513","0.0472"
"","0.1800","-0.3509","0.0477"
"","0.2000","-0.3503","0.0513"
"","0.2200","-0.3489","0.0543"
"","0.2400","-0.3462","0.0533"
"","0.2600","-0.3428","0.0508"
"","0.2800","-0.3397","0.0500"
"","0.3000","-0.3370","0.0465"
"","0.3200","-0.3347","0.0487"
"","0.3400","-0.3325","0.0491"
"","0.3600","-0.3303","0.0487"
"","0.3800","-0.3282","0.0492"
"","0.4000","-0.3261","0.0521"
"","0.4200","-0.3241","0.0528"
"","0.4400","-0.3223","0.0511"
"","0.4600","-0.3206","0.0529"
"","0.4800","-0.3189","0.0513"
"","0.5000","-0.3174","0.0537"
"","0.5200","-0.3159","0.0536"
"","0.5400","-0.3144","0.0552"
"","0.5600","-0.3129","0.0517"
"","0.5800","-0.3113","0.0528"
"","0.6000","-0.3098","0.0501"
"","0.6200","-0.3082","0.0523"
"","0.6400","-0.3066","0.0543"
"","0.6600","-0.3051","0.0561"
"","0.6800","-0.3036","0.0562"
"","0.7000","-0.3019","0.0545"
"","0.7200","-0.3001","0.0536"
"","0.7400","-0.2983","0.0533"
"","0.7600","-0.2963","0.0534"
"","0.7800","-0.2944","0.0534"
"","0.8000","-0.2924","0.0536"
"","0.8200","-0.2905","0.0566"
"","0.8400","-0.2887","0.0564"
"","0.8600","-0.2870","0.0574"
"","0.8800","-0.2853","0.0560"
"","0.9000","-0.2837","0.0566"
"","0.9200","-0.2822","0.0557"
"","0.9400","-0.2806","0.0566"
"","0.9600","-0.2791","0.0551"
"","0.9800","-0.2775","0.0576"
"","1.0000","-0.2761","0.0585"
"","1.0200","-0.2746","0.0576"
"","1.0400","-0.2731","0.0572"
"","1.0600","-0.2715","0.0565"
"","1.0800","-0.2700","0.0591"
"","1.1000","-0.2685","0.0564"
"","1.1200","-0.2669","0.0583"
"","1.1400","-0.2652","0.0564"
"","1.1600","-0.2634","0.0603"
"","1.1800","-0.2616","0.0583"
"","1.2000","-0.2598","0.0595"
"","1.2200","-0.2579","0.0601"
"","1.2400","-0.2561","0.0594"
"","1.2600","-0.2542","0.0599"
"","1.2800","-0.2524","0.0608"
"","1.3000","-0.2506","0.0616"
"","1.3200","-0.2488","0.0593"
"","1.3400","-0.2471","0.0608"
"","1.3600","-0.2455","0.0595"
"","1.3800","-0.2439","0.0612"
"","1.4000","-0.2424","0.0630"
"","1.4200","-0.2409","0.0627"
"","1.4400","-0.2393","0.0637"
"","1.4600","-0.2377","0.0626"
"","1.4800","-0.2361","0.0628"
"","1.5000","-0.2346","0.0601"
"","1.5200","-0.2330","0.0612"
"","1.5400","-0.2314","0.0621"
"","1.5600","-0.2297","0.0636"
"","1.5800","-0.2280","0.0640"
"","1.6000","-0.2262","0.0652"
"","1.6200","-0.2244","0.0651"
"","1.6400","-0.2226","0.0609"
"","1.6600","-0.2209","0.0632"
"","1.6800","-0.2191","0.0641"
"","1.7000","-0.2175","0.0669"
"","1.7200","-0.2159","0.0631"
"","1.7400","-0.2143","0.0664"
"","1.7600","-0.2127","0.0648"
