Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.1082","-0.0014"
"","0.0200","0.1082","-0.0003"
"","0.0400","0.1082","-0.0007"
"","0.0600","0.1083","0.0000"
"","0.0800","0.1084","-0.0035"
"","0.1000","0.1087","-0.0016"
"","0.1200","0.1091","0.0001"
"","0.1400","0.1091","0.0001"
"","0.1600","0.1083","0.0014"
"","0.1800","0.1081","-0.0023"
"","0.2000","0.1084","0.0003"
"","0.2200","0.1088","-0.0022"
"","0.2400","0.1095","0.0008"
"","0.2600","0.1107","0.0007"
"","0.2800","0.1133","0.0047"
"","0.3000","0.1175","0.0020"
"","0.3200","0.1219","0.0037"
"","0.3400","0.1252","0.0042"
"","0.3600","0.1276","0.0062"
"","0.3800","0.1295","0.0095"
"","0.4000","0.1312","0.0071"
"","0.4200","0.1328","0.0108"
"","0.4400","0.1345","0.0078"
"","0.4600","0.1361","0.0112"
"","0.4800","0.1377","0.0090"
"","0.5000","0.1394","0.0133"
"","0.5200","0.1411","0.0128"
"","0.5400","0.1429","0.0144"
"","0.5600","0.1447","0.0144"
"","0.5800","0.1465","0.0161"
"","0.6000","0.1483","0.0159"
"","0.6200","0.1501","0.0168"
"","0.6400","0.1520","0.0182"
"","0.6600","0.1538","0.0172"
"","0.6800","0.1557","0.0189"
"","0.7000","0.1574","0.0188"
"","0.7200","0.1590","0.0183"
"","0.7400","0.1607","0.0193"
"","0.7600","0.1623","0.0200"
"","0.7800","0.1638","0.0240"
"","0.8000","0.1653","0.0217"
"","0.8200","0.1668","0.0237"
"","0.8400","0.1683","0.0233"
"","0.8600","0.1698","0.0255"
"","0.8800","0.1713","0.0244"
"","0.9000","0.1730","0.0272"
"","0.9200","0.1747","0.0284"
"","0.9400","0.1764","0.0284"
"","0.9600","0.1783","0.0300"
"","0.9800","0.1801","0.0276"
"","1.0000","0.1819","0.0293"
"","1.0200","0.1837","0.0296"
"","1.0400","0.1854","0.0329"
