Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","0.0647"
"","0.0200","0.0000","0.0673"
"","0.0400","0.0001","0.0656"
"","0.0600","0.0003","0.0686"
"","0.0800","0.0007","0.0660"
"","0.1000","0.0013","0.0635"
"","0.1200","0.0010","0.0662"
"","0.1400","0.0007","0.0683"
"","0.1600","0.0008","0.0665"
"","0.1800","0.0012","0.0678"
"","0.2000","0.0018","0.0674"
"","0.2200","0.0028","0.0675"
"","0.2400","0.0052","0.0692"
"","0.2600","0.0086","0.0668"
"","0.2800","0.0121","0.0668"
"","0.3000","0.0153","0.0645"
"","0.3200","0.0181","0.0660"
"","0.3400","0.0205","0.0667"
"","0.3600","0.0226","0.0671"
"","0.3800","0.0246","0.0653"
"","0.4000","0.0263","0.0676"
"","0.4200","0.0280","0.0667"
"","0.4400","0.0296","0.0664"
"","0.4600","0.0312","0.0665"
"","0.4800","0.0328","0.0676"
"","0.5000","0.0344","0.0677"
"","0.5200","0.0360","0.0664"
"","0.5400","0.0376","0.0660"
"","0.5600","0.0392","0.0684"
"","0.5800","0.0408","0.0672"
"","0.6000","0.0424","0.0697"
"","0.6200","0.0441","0.0673"
"","0.6400","0.0458","0.0711"
"","0.6600","0.0476","0.0685"
"","0.6800","0.0494","0.0693"
"","0.7000","0.0513","0.0671"
"","0.7200","0.0531","0.0691"
"","0.7400","0.0549","0.0678"
"","0.7600","0.0567","0.0697"
"","0.7800","0.0584","0.0704"
"","0.8000","0.0600","0.0681"
"","0.8200","0.0616","0.0689"
"","0.8400","0.0631","0.0686"
"","0.8600","0.0646","0.0705"
"","0.8800","0.0661","0.0689"
"","0.9000","0.0677","0.0695"
"","0.9200","0.0693","0.0696"
"","0.9400","0.0709","0.0689"
"","0.9600","0.0725","0.0712"
"","0.9800","0.0741","0.0707"
"","1.0000","0.0757","0.0694"
"","1.0200","0.0773","0.0687"
"","1.0400","0.0790","0.0696"
"","1.0600","0.0809","0.0684"
"","1.0800","0.0827","0.0678"
"","1.1000","0.0847","0.0683"
"","1.1200","0.0866","0.0702"
"","1.1400","0.0885","0.0710"
"","1.1600","0.0903","0.0702"
"","1.1800","0.0920","0.0721"
"","1.2000","0.0937","0.0691"
"","1.2200","0.0953","0.0725"
"","1.2400","0.0968","0.0707"
"","1.2600","0.0982","0.0722"
"","1.2800","0.0997","0.0700"
"","1.3000","0.1011","0.0703"
"","1.3200","0.1026","0.0707"
"","1.3400","0.1041","0.0708"
"","1.3600","0.1057","0.0718"
"","1.3800","0.1073","0.0714"
"","1.4000","0.1089","0.0705"
"","1.4200","0.1105","0.0709"
"","1.4400","0.1121","0.0725"
"","1.4600","0.1138","0.0707"
"","1.4800","0.1156","0.0724"
"","1.5000","0.1174","0.0715"
