Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0002","0.1150"
"","0.0200","0.0002","0.1178"
"","0.0400","0.0003","0.1163"
"","0.0600","0.0005","0.1198"
"","0.0800","0.0008","0.1161"
"","0.1000","0.0013","0.1179"
"","0.1200","0.0018","0.1159"
"","0.1400","0.0026","0.1159"
"","0.1600","0.0035","0.1191"
"","0.1800","0.0043","0.1115"
"","0.2000","0.0041","0.1198"
"","0.2200","0.0040","0.1118"
"","0.2400","0.0042","0.1165"
"","0.2600","0.0046","0.1198"
"","0.2800","0.0052","0.1169"
"","0.3000","0.0064","0.1188"
"","0.3200","0.0085","0.1171"
"","0.3400","0.0116","0.1179"
"","0.3600","0.0152","0.1211"
"","0.3800","0.0186","0.1158"
"","0.4000","0.0215","0.1160"
"","0.4200","0.0239","0.1156"
"","0.4400","0.0259","0.1187"
"","0.4600","0.0277","0.1174"
"","0.4800","0.0294","0.1169"
"","0.5000","0.0310","0.1208"
"","0.5200","0.0325","0.1167"
"","0.5400","0.0341","0.1215"
"","0.5600","0.0358","0.1208"
"","0.5800","0.0375","0.1155"
"","0.6000","0.0393","0.1211"
"","0.6200","0.0412","0.1154"
"","0.6400","0.0431","0.1223"
"","0.6600","0.0449","0.1191"
"","0.6800","0.0467","0.1193"
"","0.7000","0.0484","0.1172"
"","0.7200","0.0500","0.1182"
"","0.7400","0.0517","0.1213"
"","0.7600","0.0532","0.1180"
"","0.7800","0.0548","0.1209"
"","0.8000","0.0564","0.1198"
"","0.8200","0.0580","0.1194"
"","0.8400","0.0596","0.1194"
"","0.8600","0.0612","0.1225"
"","0.8800","0.0629","0.1205"
"","0.9000","0.0645","0.1223"
"","0.9200","0.0662","0.1204"
"","0.9400","0.0679","0.1236"
"","0.9600","0.0695","0.1215"
"","0.9800","0.0712","0.1197"
"","1.0000","0.0729","0.1234"
"","1.0200","0.0747","0.1194"
"","1.0400","0.0765","0.1192"
"","1.0600","0.0782","0.1221"
"","1.0800","0.0800","0.1200"
"","1.1000","0.0817","0.1232"
"","1.1200","0.0835","0.1216"
"","1.1400","0.0852","0.1207"
"","1.1600","0.0868","0.1225"
"","1.1800","0.0884","0.1201"
"","1.2000","0.0900","0.1215"
"","1.2200","0.0915","0.1248"
"","1.2400","0.0931","0.1178"
"","1.2600","0.0946","0.1237"
"","1.2800","0.0962","0.1215"
"","1.3000","0.0979","0.1229"
"","1.3200","0.0995","0.1220"
"","1.3400","0.1011","0.1225"
"","1.3600","0.1027","0.1240"
"","1.3800","0.1043","0.1190"
"","1.4000","0.1060","0.1264"
"","1.4200","0.1078","0.1211"
"","1.4400","0.1096","0.1236"
"","1.4600","0.1116","0.1254"
"","1.4800","0.1135","0.1231"
"","1.5000","0.1153","0.1248"
"","1.5200","0.1171","0.1237"
"","1.5400","0.1189","0.1232"
"","1.5600","0.1206","0.1269"
"","1.5800","0.1223","0.1240"
"","1.6000","0.1239","0.1245"
"","1.6200","0.1254","0.1230"
"","1.6400","0.1268","0.1212"
"","1.6600","0.1282","0.1256"
"","1.6800","0.1297","0.1239"
"","1.7000","0.1312","0.1258"
"","1.7200","0.1327","0.1250"
"","1.7400","0.1343","0.1232"
"","1.7600","0.1359","0.1263"
"","1.7800","0.1375","0.1231"
"","1.8000","0.1391","0.1297"
"","1.8200","0.1408","0.1237"
"","1.8400","0.1426","0.1247"
"","1.8600","0.1444","0.1265"
"","1.8800","0.1463","0.1235"
