Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","-1.4903","-0.0015"
"","0.0200","-1.4905","-0.0014"
"","0.0400","-1.4905","-0.0019"
"","0.0600","-1.4904","-0.0030"
"","0.0800","-1.4902","-0.0034"
"","0.1000","-1.4900","0.0003"
"","0.1200","-1.4896","-0.0012"
"","0.1400","-1.4891","-0.0031"
"","0.1600","-1.4884","-0.0029"
"","0.1800","-1.4875","-0.0035"
"","0.2000","-1.4864","-0.0045"
"","0.2200","-1.4866","0.0004"
"","0.2400","-1.4868","-0.0051"
"","0.2600","-1.4867","0.0006"
"","0.2800","-1.4863","-0.0045"
"","0.3000","-1.4858","-0.0004"
"","0.3200","-1.4848","0.0001"
"","0.3400","-1.4827","-0.0011"
"","0.3600","-1.4793","-0.0012"
"","0.3800","-1.4757","-0.0040"
"","0.4000","-1.4726","-0.0022"
"","0.4200","-1.4701","-0.0004"
"","0.4400","-1.4680","-0.0023"
"","0.4600","-1.4661","-0.0007"
"","0.4800","-1.4642","-0.0020"
"","0.5000","-1.4623","0.0017"
"","0.5200","-1.4604","-0.0024"
"","0.5400","-1.4585","0.0006"
"","0.5600","-1.4565","-0.0033"
"","0.5800","-1.4545","-0.0008"
"","0.6000","-1.4526","-0.0003"
"","0.6200","-1.4509","-0.0010"
"","0.6400","-1.4492","0.0006"
"","0.6600","-1.4477","0.0033"
"","0.6800","-1.4461","-0.0025"
"","0.7000","-1.4447","0.0013"
"","0.7200","-1.4432","-0.0027"
"","0.7400","-1.4416","0.0012"
"","0.7600","-1.4400","0.0012"
"","0.7800","-1.4384","-0.0009"
"","0.8000","-1.4367","0.0077"
"","0.8200","-1.4351","-0.0034"
"","0.8400","-1.4334","0.0050"
"","0.8600","-1.4317","-0.0019"
"","0.8800","-1.4299","0.0015"
"","0.9000","-1.4281","0.0044"
"","0.9200","-1.4263","-0.0040"
"","0.9400","-1.4245","0.0063"
"","0.9600","-1.4227","-0.0017"
