Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.1380","0.0000"
"","0.0200","0.1379","-0.0012"
"","0.0400","0.1378","-0.0021"
"","0.0600","0.1379","-0.0010"
"","0.0800","0.1381","-0.0016"
"","0.1000","0.1383","-0.0021"
"","0.1200","0.1386","-0.0007"
"","0.1400","0.1390","0.0002"
"","0.1600","0.1396","0.0015"
"","0.1800","0.1404","-0.0018"
"","0.2000","0.1410","0.0013"
"","0.2200","0.1406","-0.0019"
"","0.2400","0.1404","0.0048"
"","0.2600","0.1406","0.0012"
"","0.2800","0.1410","0.0013"
"","0.3000","0.1416","-0.0020"
"","0.3200","0.1427","0.0006"
"","0.3400","0.1452","0.0046"
"","0.3600","0.1490","0.0011"
"","0.3800","0.1529","0.0037"
"","0.4000","0.1562","0.0021"
"","0.4200","0.1587","0.0073"
"","0.4400","0.1608","0.0058"
"","0.4600","0.1625","0.0087"
"","0.4800","0.1642","0.0071"
"","0.5000","0.1659","0.0077"
"","0.5200","0.1677","0.0087"
"","0.5400","0.1695","0.0055"
"","0.5600","0.1714","0.0117"
"","0.5800","0.1732","0.0047"
"","0.6000","0.1750","0.0104"
"","0.6200","0.1767","0.0095"
"","0.6400","0.1783","0.0131"
"","0.6600","0.1799","0.0113"
"","0.6800","0.1815","0.0103"
"","0.7000","0.1830","0.0153"
"","0.7200","0.1846","0.0078"
"","0.7400","0.1861","0.0158"
"","0.7600","0.1878","0.0115"
"","0.7800","0.1895","0.0130"
"","0.8000","0.1911","0.0129"
"","0.8200","0.1928","0.0134"
"","0.8400","0.1944","0.0161"
"","0.8600","0.1961","0.0155"
"","0.8800","0.1978","0.0145"
"","0.9000","0.1995","0.0159"
"","0.9200","0.2014","0.0188"
"","0.9400","0.2032","0.0166"
"","0.9600","0.2050","0.0187"
"","0.9800","0.2067","0.0166"
"","1.0000","0.2084","0.0179"
"","1.0200","0.2100","0.0179"
"","1.0400","0.2117","0.0193"
"","1.0600","0.2133","0.0214"
"","1.0800","0.2149","0.0189"
"","1.1000","0.2166","0.0217"
"","1.1200","0.2182","0.0201"
"","1.1400","0.2198","0.0222"
"","1.1600","0.2214","0.0213"
"","1.1800","0.2229","0.0222"
"","1.2000","0.2245","0.0207"
"","1.2200","0.2261","0.0227"
"","1.2400","0.2277","0.0223"
"","1.2600","0.2293","0.0233"
"","1.2800","0.2310","0.0244"
"","1.3000","0.2328","0.0236"
"","1.3200","0.2346","0.0266"
"","1.3400","0.2365","0.0253"
"","1.3600","0.2384","0.0299"
"","1.3800","0.2403","0.0243"
"","1.4000","0.2421","0.0297"
"","1.4200","0.2438","0.0256"
"","1.4400","0.2455","0.0275"
"","1.4600","0.2471","0.0285"
"","1.4800","0.2485","0.0301"
"","1.5000","0.2500","0.0307"
"","1.5200","0.2514","0.0288"
"","1.5400","0.2529","0.0310"
"","1.5600","0.2545","0.0289"
"","1.5800","0.2560","0.0329"
"","1.6000","0.2576","0.0319"
"","1.6200","0.2592","0.0318"
"","1.6400","0.2608","0.0331"
"","1.6600","0.2623","0.0315"
"","1.6800","0.2639","0.0355"
"","1.7000","0.2656","0.0304"
"","1.7200","0.2674","0.0365"
"","1.7400","0.2693","0.0356"
"","1.7600","0.2713","0.0385"
"","1.7800","0.2732","0.0356"
"","1.8000","0.2751","0.0378"
"","1.8200","0.2770","0.0386"
"","1.8400","0.2788","0.0374"
"","1.8600","0.2806","0.0387"
"","1.8800","0.2823","0.0383"
"","1.9000","0.2839","0.0423"
"","1.9200","0.2854","0.0385"
"","1.9400","0.2869","0.0445"
"","1.9600","0.2884","0.0397"
"","1.9800","0.2898","0.0418"
"","2.0000","0.2913","0.0391"
"","2.0200","0.2928","0.0424"
"","2.0400","0.2943","0.0425"
"","2.0600","0.2959","0.0401"
"","2.0800","0.2975","0.0455"
"","2.1000","0.2991","0.0408"
"","2.1200","0.3008","0.0446"
"","2.1400","0.3026","0.0448"
"","2.1600","0.3044","0.0455"
"","2.1800","0.3063","0.0464"
"","2.2000","0.3082","0.0438"
"","2.2200","0.3102","0.0500"
"","2.2400","0.3120","0.0479"
"","2.2600","0.3138","0.0515"
"","2.2800","0.3155","0.0448"
"","2.3000","0.3171","0.0518"
"","2.3200","0.3186","0.0502"
"","2.3400","0.3201","0.0489"
"","2.3600","0.3216","0.0510"
"","2.3800","0.3232","0.0512"
"","2.4000","0.3248","0.0475"
"","2.4200","0.3264","0.0525"
"","2.4400","0.3280","0.0539"
"","2.4600","0.3296","0.0525"
"","2.4800","0.3311","0.0534"
"","2.5000","0.3326","0.0516"
"","2.5200","0.3343","0.0558"
"","2.5400","0.3359","0.0510"
"","2.5600","0.3376","0.0576"
"","2.5800","0.3394","0.0537"
"","2.6000","0.3412","0.0573"
"","2.6200","0.3430","0.0516"
"","2.6400","0.3448","0.0581"
"","2.6600","0.3467","0.0604"
"","2.6800","0.3485","0.0551"
"","2.7000","0.3502","0.0595"
"","2.7200","0.3519","0.0583"
"","2.7400","0.3535","0.0586"
"","2.7600","0.3551","0.0597"
"","2.7800","0.3567","0.0595"
"","2.8000","0.3583","0.0588"
"","2.8200","0.3600","0.0580"
"","2.8400","0.3616","0.0636"
"","2.8600","0.3632","0.0614"
"","2.8800","0.3648","0.0633"
"","2.9000","0.3664","0.0606"
"","2.9200","0.3680","0.0617"
"","2.9400","0.3697","0.0633"
"","2.9600","0.3715","0.0683"
"","2.9800","0.3733","0.0604"
"","3.0000","0.3752","0.0645"
"","3.0200","0.3769","0.0643"
"","3.0400","0.3786","0.0641"
"","3.0600","0.3803","0.0684"
"","3.0800","0.3818","0.0644"
"","3.1000","0.3834","0.0686"
"","3.1200","0.3849","0.0643"
"","3.1400","0.3865","0.0696"
"","3.1600","0.3880","0.0714"
"","3.1800","0.3896","0.0699"
"","3.2000","0.3912","0.0683"
"","3.2200","0.3928","0.0710"
"","3.2400","0.3945","0.0723"
"","3.2600","0.3962","0.0690"
"","3.2800","0.3978","0.0711"
"","3.3000","0.3995","0.0724"
"","3.3200","0.4012","0.0688"
"","3.3400","0.4030","0.0739"
"","3.3600","0.4047","0.0726"
"","3.3800","0.4065","0.0733"
"","3.4000","0.4083","0.0749"
"","3.4200","0.4102","0.0727"
"","3.4400","0.4120","0.0720"
"","3.4600","0.4138","0.0800"
"","3.4800","0.4154","0.0714"
"","3.5000","0.4170","0.0784"
"","3.5200","0.4185","0.0776"
"","3.5400","0.4200","0.0777"
"","3.5600","0.4216","0.0772"
"","3.5800","0.4231","0.0819"
"","3.6000","0.4247","0.0758"
"","3.6200","0.4262","0.0781"
"","3.6400","0.4278","0.0816"
"","3.6600","0.4294","0.0786"
"","3.6800","0.4310","0.0856"
"","3.7000","0.4327","0.0775"
