Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.2210","-0.0002"
"","0.0200","0.2209","0.0041"
"","0.0400","0.2208","0.0022"
"","0.0600","0.2209","0.0005"
"","0.0800","0.2211","0.0014"
"","0.1000","0.2214","-0.0010"
"","0.1200","0.2218","0.0017"
"","0.1400","0.2223","0.0009"
"","0.1600","0.2230","0.0024"
"","0.1800","0.2238","-0.0004"
"","0.2000","0.2250","0.0042"
"","0.2200","0.2251","-0.0012"
"","0.2400","0.2248","0.0022"
"","0.2600","0.2248","-0.0031"
"","0.2800","0.2251","0.0016"
"","0.3000","0.2256","0.0018"
"","0.3200","0.2263","0.0015"
"","0.3400","0.2279","0.0053"
"","0.3600","0.2308","0.0007"
"","0.3800","0.2343","0.0070"
"","0.4000","0.2376","0.0017"
"","0.4200","0.2404","0.0048"
"","0.4400","0.2429","0.0069"
"","0.4600","0.2453","0.0060"
"","0.4800","0.2475","0.0079"
"","0.5000","0.2497","0.0075"
"","0.5200","0.2518","0.0120"
"","0.5400","0.2537","0.0065"
"","0.5600","0.2554","0.0135"
"","0.5800","0.2571","0.0085"
"","0.6000","0.2587","0.0101"
"","0.6200","0.2602","0.0133"
"","0.6400","0.2618","0.0120"
"","0.6600","0.2634","0.0116"
"","0.6800","0.2649","0.0116"
"","0.7000","0.2665","0.0154"
"","0.7200","0.2679","0.0110"
"","0.7400","0.2694","0.0177"
"","0.7600","0.2708","0.0112"
"","0.7800","0.2723","0.0141"
"","0.8000","0.2739","0.0188"
"","0.8200","0.2756","0.0157"
"","0.8400","0.2774","0.0142"
"","0.8600","0.2793","0.0174"
"","0.8800","0.2811","0.0133"
"","0.9000","0.2830","0.0193"
"","0.9200","0.2848","0.0194"
"","0.9400","0.2867","0.0170"
"","0.9600","0.2885","0.0180"
"","0.9800","0.2903","0.0174"
"","1.0000","0.2920","0.0217"
"","1.0200","0.2937","0.0200"
"","1.0400","0.2953","0.0194"
"","1.0600","0.2968","0.0245"
"","1.0800","0.2984","0.0180"
"","1.1000","0.2999","0.0272"
"","1.1200","0.3015","0.0210"
"","1.1400","0.3031","0.0247"
"","1.1600","0.3048","0.0230"
"","1.1800","0.3064","0.0228"
"","1.2000","0.3080","0.0255"
"","1.2200","0.3095","0.0271"
"","1.2400","0.3112","0.0291"
"","1.2600","0.3129","0.0233"
"","1.2800","0.3147","0.0290"
"","1.3000","0.3165","0.0271"
"","1.3200","0.3183","0.0279"
"","1.3400","0.3200","0.0292"
"","1.3600","0.3216","0.0298"
"","1.3800","0.3233","0.0273"
"","1.4000","0.3249","0.0293"
"","1.4200","0.3265","0.0317"
"","1.4400","0.3282","0.0268"
"","1.4600","0.3298","0.0289"
"","1.4800","0.3314","0.0292"
"","1.5000","0.3330","0.0329"
"","1.5200","0.3347","0.0298"
"","1.5400","0.3363","0.0341"
"","1.5600","0.3379","0.0346"
"","1.5800","0.3395","0.0321"
"","1.6000","0.3412","0.0351"
"","1.6200","0.3429","0.0356"
"","1.6400","0.3446","0.0356"
"","1.6600","0.3464","0.0328"
"","1.6800","0.3482","0.0406"
"","1.7000","0.3500","0.0328"
"","1.7200","0.3517","0.0382"
"","1.7400","0.3534","0.0347"
"","1.7600","0.3551","0.0371"
"","1.7800","0.3567","0.0391"
"","1.8000","0.3583","0.0396"
"","1.8200","0.3599","0.0410"
"","1.8400","0.3615","0.0387"
"","1.8600","0.3631","0.0426"
"","1.8800","0.3647","0.0377"
"","1.9000","0.3662","0.0426"
"","1.9200","0.3679","0.0454"
"","1.9400","0.3695","0.0350"
"","1.9600","0.3711","0.0431"
"","1.9800","0.3727","0.0462"
"","2.0000","0.3743","0.0397"
"","2.0200","0.3760","0.0473"
"","2.0400","0.3777","0.0445"
"","2.0600","0.3795","0.0398"
"","2.0800","0.3813","0.0440"
"","2.1000","0.3832","0.0469"
"","2.1200","0.3851","0.0435"
"","2.1400","0.3870","0.0444"
"","2.1600","0.3888","0.0525"
"","2.1800","0.3906","0.0464"
"","2.2000","0.3922","0.0500"
"","2.2200","0.3937","0.0511"
"","2.2400","0.3951","0.0410"
"","2.2600","0.3966","0.0541"
"","2.2800","0.3980","0.0478"
"","2.3000","0.3995","0.0528"
"","2.3200","0.4010","0.0502"
"","2.3400","0.4026","0.0508"
"","2.3600","0.4042","0.0514"
"","2.3800","0.4058","0.0495"
"","2.4000","0.4074","0.0534"
"","2.4200","0.4090","0.0505"
"","2.4400","0.4106","0.0516"
"","2.4600","0.4124","0.0561"
"","2.4800","0.4142","0.0533"
"","2.5000","0.4162","0.0568"
"","2.5200","0.4181","0.0557"
"","2.5400","0.4200","0.0512"
"","2.5600","0.4219","0.0589"
"","2.5800","0.4237","0.0534"
"","2.6000","0.4255","0.0575"
"","2.6200","0.4272","0.0591"
"","2.6400","0.4288","0.0527"
"","2.6600","0.4303","0.0615"
"","2.6800","0.4319","0.0574"
"","2.7000","0.4334","0.0611"
"","2.7200","0.4349","0.0571"
"","2.7400","0.4364","0.0578"
"","2.7600","0.4379","0.0628"
"","2.7800","0.4394","0.0601"
"","2.8000","0.4409","0.0636"
"","2.8200","0.4425","0.0609"
"","2.8400","0.4441","0.0638"
"","2.8600","0.4457","0.0628"
"","2.8800","0.4475","0.0661"
"","2.9000","0.4493","0.0650"
"","2.9200","0.4511","0.0671"
"","2.9400","0.4530","0.0622"
"","2.9600","0.4550","0.0674"
"","2.9800","0.4568","0.0641"
"","3.0000","0.4587","0.0682"
"","3.0200","0.4604","0.0667"
"","3.0400","0.4621","0.0643"
"","3.0600","0.4636","0.0694"
"","3.0800","0.4652","0.0677"
"","3.1000","0.4668","0.0700"
"","3.1200","0.4683","0.0681"
"","3.1400","0.4699","0.0687"
"","3.1600","0.4715","0.0717"
"","3.1800","0.4731","0.0700"
"","3.2000","0.4746","0.0706"
"","3.2200","0.4761","0.0695"
"","3.2400","0.4775","0.0732"
"","3.2600","0.4791","0.0722"
"","3.2800","0.4808","0.0753"
"","3.3000","0.4826","0.0744"
"","3.3200","0.4844","0.0731"
"","3.3400","0.4862","0.0730"
"","3.3600","0.4880","0.0746"
"","3.3800","0.4898","0.0741"
"","3.4000","0.4917","0.0750"
"","3.4200","0.4935","0.0784"
"","3.4400","0.4952","0.0764"
"","3.4600","0.4968","0.0784"
"","3.4800","0.4984","0.0761"
"","3.5000","0.5000","0.0814"
"","3.5200","0.5016","0.0760"
"","3.5400","0.5033","0.0810"
