Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","1.5537","0.4945"
"","0.0200","1.5536","0.4987"
"","0.0400","1.5536","0.4966"
"","0.0600","1.5536","0.4968"
"","0.0800","1.5538","0.4976"
"","0.1000","1.5540","0.4959"
"","0.1200","1.5543","0.4965"
"","0.1400","1.5547","0.4948"
"","0.1600","1.5552","0.4978"
"","0.1800","1.5560","0.4958"
"","0.2000","1.5564","0.4965"
"","0.2200","1.5560","0.4963"
"","0.2400","1.5558","0.4918"
"","0.2600","1.5560","0.4980"
"","0.2800","1.5564","0.4927"
"","0.3000","1.5570","0.4958"
"","0.3200","1.5580","0.5018"
"","0.3400","1.5604","0.5016"
"","0.3600","1.5639","0.4985"
"","0.3800","1.5678","0.5054"
"","0.4000","1.5714","0.5071"
"","0.4200","1.5743","0.5083"
"","0.4400","1.5767","0.5108"
"","0.4600","1.5787","0.5136"
"","0.4800","1.5804","0.5143"
"","0.5000","1.5819","0.5145"
"","0.5200","1.5834","0.5216"
"","0.5400","1.5849","0.5129"
"","0.5600","1.5864","0.5222"
"","0.5800","1.5879","0.5192"
"","0.6000","1.5895","0.5221"
"","0.6200","1.5910","0.5212"
"","0.6400","1.5927","0.5203"
"","0.6600","1.5946","0.5254"
"","0.6800","1.5966","0.5215"
"","0.7000","1.5985","0.5299"
"","0.7200","1.6005","0.5277"
"","0.7400","1.6025","0.5305"
"","0.7600","1.6043","0.5322"
"","0.7800","1.6061","0.5312"
"","0.8000","1.6078","0.5350"
"","0.8200","1.6093","0.5313"
"","0.8400","1.6109","0.5379"
"","0.8600","1.6124","0.5360"
"","0.8800","1.6140","0.5379"
"","0.9000","1.6155","0.5390"
"","0.9200","1.6171","0.5392"
"","0.9400","1.6186","0.5436"
"","0.9600","1.6201","0.5473"
"","0.9800","1.6216","0.5420"
"","1.0000","1.6231","0.5491"
"","1.0200","1.6246","0.5448"
"","1.0400","1.6262","0.5449"
"","1.0600","1.6279","0.5509"
"","1.0800","1.6297","0.5447"
"","1.1000","1.6315","0.5536"
"","1.1200","1.6333","0.5471"
"","1.1400","1.6352","0.5540"
"","1.1600","1.6370","0.5525"
"","1.1800","1.6389","0.5567"
"","1.2000","1.6408","0.5579"
"","1.2200","1.6427","0.5570"
"","1.2400","1.6444","0.5635"
"","1.2600","1.6461","0.5591"
"","1.2800","1.6477","0.5649"
"","1.3000","1.6492","0.5629"
"","1.3200","1.6508","0.5643"
"","1.3400","1.6524","0.5661"
"","1.3600","1.6539","0.5677"
"","1.3800","1.6555","0.5701"
"","1.4000","1.6571","0.5693"
"","1.4200","1.6586","0.5704"
"","1.4400","1.6602","0.5736"
"","1.4600","1.6618","0.5743"
"","1.4800","1.6634","0.5726"
"","1.5000","1.6652","0.5761"
"","1.5200","1.6669","0.5726"
"","1.5400","1.6687","0.5795"
"","1.5600","1.6704","0.5772"
"","1.5800","1.6722","0.5799"
"","1.6000","1.6739","0.5804"
"","1.6200","1.6756","0.5801"
"","1.6400","1.6772","0.5862"
"","1.6600","1.6788","0.5854"
"","1.6800","1.6805","0.5914"
"","1.7000","1.6821","0.5857"
"","1.7200","1.6838","0.5911"
"","1.7400","1.6855","0.5903"
"","1.7600","1.6872","0.5902"
"","1.7800","1.6889","0.5956"
"","1.8000","1.6905","0.5918"
"","1.8200","1.6921","0.5947"
"","1.8400","1.6936","0.5968"
"","1.8600","1.6952","0.5978"
"","1.8800","1.6969","0.5995"
"","1.9000","1.6986","0.5986"
"","1.9200","1.7003","0.5982"
"","1.9400","1.7020","0.6028"
"","1.9600","1.7037","0.6038"
"","1.9800","1.7054","0.6045"
"","2.0000","1.7071","0.6070"
"","2.0200","1.7089","0.6047"
"","2.0400","1.7106","0.6073"
"","2.0600","1.7123","0.6069"
"","2.0800","1.7140","0.6106"
"","2.1000","1.7156","0.6083"
"","2.1200","1.7172","0.6147"
"","2.1400","1.7188","0.6129"
"","2.1600","1.7205","0.6153"
"","2.1800","1.7221","0.6156"
"","2.2000","1.7237","0.6180"
"","2.2200","1.7252","0.6206"
"","2.2400","1.7267","0.6211"
"","2.2600","1.7283","0.6207"
"","2.2800","1.7301","0.6209"
"","2.3000","1.7319","0.6235"
"","2.3200","1.7337","0.6220"
"","2.3400","1.7356","0.6323"
"","2.3600","1.7375","0.6253"
"","2.3800","1.7394","0.6315"
"","2.4000","1.7412","0.6275"
"","2.4200","1.7428","0.6313"
"","2.4400","1.7443","0.6369"
"","2.4600","1.7458","0.6313"
"","2.4800","1.7473","0.6388"
"","2.5000","1.7488","0.6345"
"","2.5200","1.7503","0.6364"
"","2.5400","1.7519","0.6368"
"","2.5600","1.7534","0.6387"
"","2.5800","1.7550","0.6427"
"","2.6000","1.7566","0.6405"
"","2.6200","1.7582","0.6446"
"","2.6400","1.7598","0.6408"
"","2.6600","1.7613","0.6454"
"","2.6800","1.7630","0.6478"
"","2.7000","1.7648","0.6485"
"","2.7200","1.7666","0.6473"
"","2.7400","1.7685","0.6510"
"","2.7600","1.7703","0.6488"
"","2.7800","1.7722","0.6535"
"","2.8000","1.7741","0.6540"
"","2.8200","1.7760","0.6555"
"","2.8400","1.7778","0.6574"
"","2.8600","1.7796","0.6552"
