Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.5743","0.4989"
"","0.0200","0.5741","0.5001"
"","0.0400","0.5741","0.4990"
"","0.0600","0.5741","0.5002"
"","0.0800","0.5743","0.4936"
"","0.1000","0.5745","0.5042"
"","0.1200","0.5748","0.4976"
"","0.1400","0.5752","0.4979"
"","0.1600","0.5758","0.5034"
"","0.1800","0.5766","0.5005"
"","0.2000","0.5775","0.4954"
"","0.2200","0.5773","0.5011"
"","0.2400","0.5770","0.5012"
"","0.2600","0.5771","0.4997"
"","0.2800","0.5774","0.5040"
"","0.3000","0.5779","0.4996"
"","0.3200","0.5787","0.5035"
"","0.3400","0.5805","0.5064"
"","0.3600","0.5836","0.5036"
"","0.3800","0.5874","0.5104"
"","0.4000","0.5908","0.5114"
"","0.4200","0.5936","0.5140"
"","0.4400","0.5959","0.5155"
"","0.4600","0.5978","0.5191"
"","0.4800","0.5996","0.5201"
"","0.5000","0.6014","0.5196"
"","0.5200","0.6033","0.5228"
"","0.5400","0.6052","0.5241"
"","0.5600","0.6070","0.5270"
"","0.5800","0.6089","0.5290"
"","0.6000","0.6108","0.5289"
"","0.6200","0.6126","0.5284"
"","0.6400","0.6143","0.5306"
"","0.6600","0.6160","0.5330"
"","0.6800","0.6176","0.5364"
"","0.7000","0.6192","0.5338"
"","0.7200","0.6207","0.5395"
"","0.7400","0.6222","0.5371"
"","0.7600","0.6238","0.5403"
"","0.7800","0.6255","0.5437"
"","0.8000","0.6271","0.5387"
"","0.8200","0.6288","0.5454"
"","0.8400","0.6305","0.5435"
"","0.8600","0.6321","0.5477"
"","0.8800","0.6338","0.5501"
"","0.9000","0.6355","0.5451"
"","0.9200","0.6373","0.5507"
"","0.9400","0.6392","0.5488"
"","0.9600","0.6410","0.5534"
"","0.9800","0.6428","0.5530"
"","1.0000","0.6446","0.5550"
"","1.0200","0.6462","0.5574"
"","1.0400","0.6479","0.5588"
"","1.0600","0.6495","0.5606"
"","1.0800","0.6510","0.5604"
"","1.1000","0.6525","0.5610"
"","1.1200","0.6541","0.5645"
"","1.1400","0.6556","0.5655"
"","1.1600","0.6572","0.5658"
"","1.1800","0.6588","0.5709"
"","1.2000","0.6604","0.5660"
"","1.2200","0.6620","0.5735"
"","1.2400","0.6636","0.5692"
"","1.2600","0.6652","0.5743"
"","1.2800","0.6669","0.5764"
"","1.3000","0.6686","0.5751"
"","1.3200","0.6703","0.5810"
"","1.3400","0.6721","0.5756"
"","1.3600","0.6739","0.5812"
"","1.3800","0.6757","0.5835"
"","1.4000","0.6775","0.5797"
"","1.4200","0.6793","0.5883"
"","1.4400","0.6812","0.5831"
"","1.4600","0.6829","0.5888"
"","1.4800","0.6846","0.5886"
"","1.5000","0.6861","0.5882"
"","1.5200","0.6877","0.5929"
"","1.5400","0.6893","0.5926"
"","1.5600","0.6908","0.5926"
"","1.5800","0.6924","0.5954"
"","1.6000","0.6940","0.5942"
"","1.6200","0.6956","0.6026"
"","1.6400","0.6973","0.5996"
"","1.6600","0.6989","0.6010"
"","1.6800","0.7005","0.6036"
"","1.7000","0.7021","0.6005"
"","1.7200","0.7038","0.6079"
"","1.7400","0.7056","0.6021"
"","1.7600","0.7074","0.6110"
"","1.7800","0.7093","0.6088"
"","1.8000","0.7112","0.6120"
"","1.8200","0.7130","0.6146"
"","1.8400","0.7147","0.6125"
"","1.8600","0.7163","0.6163"
"","1.8800","0.7178","0.6162"
"","1.9000","0.7193","0.6176"
"","1.9200","0.7209","0.6191"
"","1.9400","0.7224","0.6209"
"","1.9600","0.7240","0.6195"
"","1.9800","0.7256","0.6226"
"","2.0000","0.7271","0.6265"
"","2.0200","0.7287","0.6243"
"","2.0400","0.7303","0.6265"
"","2.0600","0.7318","0.6259"
"","2.0800","0.7334","0.6278"
"","2.1000","0.7351","0.6327"
"","2.1200","0.7369","0.6324"
"","2.1400","0.7387","0.6351"
"","2.1600","0.7406","0.6393"
"","2.1800","0.7424","0.6370"
"","2.2000","0.7443","0.6385"
"","2.2200","0.7462","0.6411"
"","2.2400","0.7480","0.6399"
"","2.2600","0.7498","0.6421"
"","2.2800","0.7515","0.6459"
"","2.3000","0.7531","0.6454"
"","2.3200","0.7546","0.6452"
"","2.3400","0.7561","0.6505"
"","2.3600","0.7576","0.6470"
"","2.3800","0.7591","0.6519"
"","2.4000","0.7606","0.6493"
"","2.4200","0.7622","0.6539"
"","2.4400","0.7638","0.6540"
"","2.4600","0.7654","0.6561"
"","2.4800","0.7670","0.6586"
"","2.5000","0.7686","0.6580"
"","2.5200","0.7703","0.6611"
"","2.5400","0.7721","0.6613"
"","2.5600","0.7739","0.6644"
"","2.5800","0.7757","0.6640"
"","2.6000","0.7776","0.6650"
"","2.6200","0.7794","0.6698"
"","2.6400","0.7812","0.6655"
"","2.6600","0.7830","0.6728"
"","2.6800","0.7847","0.6696"
"","2.7000","0.7863","0.6738"
"","2.7200","0.7878","0.6740"
"","2.7400","0.7894","0.6750"
"","2.7600","0.7909","0.6783"
"","2.7800","0.7925","0.6787"
"","2.8000","0.7941","0.6810"
"","2.8200","0.7957","0.6791"
"","2.8400","0.7973","0.6834"
"","2.8600","0.7988","0.6821"
"","2.8800","0.8003","0.6838"
"","2.9000","0.8018","0.6869"
"","2.9200","0.8033","0.6902"
"","2.9400","0.8050","0.6874"
"","2.9600","0.8067","0.6919"
"","2.9800","0.8086","0.6875"
"","3.0000","0.8105","0.6922"
"","3.0200","0.8124","0.6950"
"","3.0400","0.8142","0.6944"
"","3.0600","0.8161","0.7012"
"","3.0800","0.8179","0.6978"
"","3.1000","0.8197","0.7008"
"","3.1200","0.8213","0.7017"
"","3.1400","0.8229","0.7038"
"","3.1600","0.8245","0.7072"
"","3.1800","0.8261","0.7054"
"","3.2000","0.8277","0.7090"
"","3.2200","0.8292","0.7064"
"","3.2400","0.8308","0.7127"
"","3.2600","0.8324","0.7109"
"","3.2800","0.8340","0.7121"
"","3.3000","0.8355","0.7141"
"","3.3200","0.8371","0.7141"
"","3.3400","0.8388","0.7174"
"","3.3600","0.8405","0.7178"
"","3.3800","0.8423","0.7177"
"","3.4000","0.8441","0.7221"
"","3.4200","0.8459","0.7210"
"","3.4400","0.8477","0.7236"
"","3.4600","0.8494","0.7275"
"","3.4800","0.8511","0.7239"
"","3.5000","0.8528","0.7287"
"","3.5200","0.8544","0.7285"
"","3.5400","0.8560","0.7325"
"","3.5600","0.8575","0.7336"
"","3.5800","0.8591","0.7343"
"","3.6000","0.8607","0.7333"
"","3.6200","0.8624","0.7349"
"","3.6400","0.8640","0.7372"
"","3.6600","0.8656","0.7338"
"","3.6800","0.8672","0.7418"
"","3.7000","0.8689","0.7382"
"","3.7200","0.8705","0.7403"
"","3.7400","0.8722","0.7468"
"","3.7600","0.8738","0.7415"
"","3.7800","0.8754","0.7477"
"","3.8000","0.8771","0.7449"
"","3.8200","0.8789","0.7510"
"","3.8400","0.8806","0.7482"
"","3.8600","0.8824","0.7539"
"","3.8800","0.8842","0.7490"
"","3.9000","0.8860","0.7578"
"","3.9200","0.8878","0.7602"
"","3.9400","0.8894","0.7556"
"","3.9600","0.8910","0.7608"
"","3.9800","0.8926","0.7597"
"","4.0000","0.8941","0.7607"
"","4.0200","0.8957","0.7645"
"","4.0400","0.8973","0.7644"
"","4.0600","0.8988","0.7650"
"","4.0800","0.9005","0.7669"
"","4.1000","0.9021","0.7667"
"","4.1200","0.9037","0.7700"
"","4.1400","0.9054","0.7686"
"","4.1600","0.9071","0.7730"
"","4.1800","0.9089","0.7753"
"","4.2000","0.9108","0.7769"
"","4.2200","0.9127","0.7758"
"","4.2400","0.9145","0.7785"
"","4.2600","0.9163","0.7829"
"","4.2800","0.9180","0.7768"
"","4.3000","0.9195","0.7825"
"","4.3200","0.9210","0.7813"
"","4.3400","0.9225","0.7822"
"","4.3600","0.9240","0.7899"
"","4.3800","0.9256","0.7880"
"","4.4000","0.9271","0.7895"
"","4.4200","0.9287","0.7858"
"","4.4400","0.9303","0.7948"
"","4.4600","0.9320","0.7927"
"","4.4800","0.9336","0.7954"
"","4.5000","0.9353","0.7952"
"","4.5200","0.9369","0.7950"
"","4.5400","0.9384","0.8003"
"","4.5600","0.9400","0.7998"
"","4.5800","0.9418","0.8026"
"","4.6000","0.9436","0.8005"
"","4.6200","0.9454","0.8040"
